Altium Designer Pick and Place Locations
C:\Users\Student\Desktop\Altium\Redesign 18Rx Platine\uz_d_optical_18tx_14tx4rx\Project Outputs for Digital_Optical_18Tx_14Tx4Rx\Rev07\Pick Place\Pick Place for Digital_Optical(18Tx).csv

========================================================================================================================
File Design Information:

Date:       16.08.21
Time:       10:41
Revision:   2add147e34c670a1b1b4374e0540d0f19600668f
Variant:    18Tx
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer","JLCSMT Rotation"
"R8Q","R_0603_N","120.9000","120.9000","11.3000","11.3000","120.9000","10.5000","90","0R","TopLayer",""
"R8O","R_0603_N","120.9000","120.9000","21.6000","21.6000","120.9000","20.8000","90","0R","TopLayer",""
"R8N","R_0603_N","120.9000","120.9000","27.8250","27.8250","120.9000","28.6250","270","0R","TopLayer",""
"R8M","R_0603_N","120.8831","120.8831","32.1581","32.1581","120.8831","31.3581","90","0R","TopLayer",""
"R8L","R_0603_N","120.8000","120.8000","37.9000","37.9000","120.8000","38.7000","270","0R","TopLayer",""
"R8K","R_0603_N","120.8000","120.8000","42.7000","42.7000","120.8000","41.9000","90","0R","TopLayer",""
"R8J","R_0603_N","120.8000","120.8000","48.6250","48.6250","120.8000","49.4250","270","0R","TopLayer",""
"R8I","R_0603_N","120.8000","120.8000","52.9000","52.9000","120.8000","52.1000","90","0R","TopLayer",""
"R8H","R_0603_N","120.8000","120.8000","58.2000","58.2000","120.8000","59.0000","270","0R","TopLayer",""
"R8G","R_0603_N","120.7860","120.7860","62.8360","62.8360","120.7860","62.0360","90","0R","TopLayer",""
"R8F","R_0603_N","120.8000","120.8000","68.2250","68.2250","120.8000","69.0250","270","0R","TopLayer",""
"R8E","R_0603_N","120.7610","120.7610","73.2360","73.2360","120.7610","72.4360","90","0R","TopLayer",""
"R8D","R_0603_N","120.8000","120.8000","78.7250","78.7250","120.8000","79.5250","270","0R","TopLayer",""
"R8C","R_0603_N","120.8000","120.8000","83.2250","83.2250","120.8000","82.4250","90","0R","TopLayer",""
"R8B","R_0603_N","120.8750","120.8750","88.6750","88.6750","120.8750","89.4750","270","0R","TopLayer",""
"R7Q","R_0603_N","105.7000","105.7000","11.3000","11.3000","105.7000","12.1000","270","0R","TopLayer",""
"R7O","R_0603_N","105.7000","105.7000","21.6000","21.6000","105.7000","22.4000","270","0R","TopLayer",""
"R7N","R_0603_N","105.7000","105.7000","27.8250","27.8250","105.7000","28.6250","270","0R","TopLayer",""
"R7M","R_0603_N","105.6831","105.6831","32.1581","32.1581","105.6831","32.9581","270","0R","TopLayer",""
"R7L","R_0603_N","105.6000","105.6000","37.9000","37.9000","105.6000","38.7000","270","0R","TopLayer",""
"R7K","R_0603_N","105.6000","105.6000","42.7000","42.7000","105.6000","43.5000","270","0R","TopLayer",""
"R7J","R_0603_N","105.6000","105.6000","48.6250","48.6250","105.6000","49.4250","270","0R","TopLayer",""
"R7I","R_0603_N","105.6000","105.6000","52.9000","52.9000","105.6000","53.7000","270","0R","TopLayer",""
"R7H","R_0603_N","105.6000","105.6000","58.2000","58.2000","105.6000","59.0000","270","0R","TopLayer",""
"R7G","R_0603_N","105.5860","105.5860","62.8360","62.8360","105.5860","63.6360","270","0R","TopLayer",""
"R7F","R_0603_N","105.6000","105.6000","68.2250","68.2250","105.6000","69.0250","270","0R","TopLayer",""
"R7E","R_0603_N","105.5610","105.5610","73.2360","73.2360","105.5610","74.0360","270","0R","TopLayer",""
"R7D","R_0603_N","105.6000","105.6000","78.7250","78.7250","105.6000","79.5250","270","0R","TopLayer",""
"R7C","R_0603_N","105.6000","105.6000","83.2250","83.2250","105.6000","84.0250","270","0R","TopLayer",""
"R7B","R_0603_N","105.6750","105.6750","88.6750","88.6750","105.6750","89.4750","270","0R","TopLayer",""
"R18Q","R_0603_N","107.1000","107.1000","11.3000","11.3000","107.1000","10.5000","90","2k","TopLayer",""
"R18O","R_0603_N","107.1000","107.1000","21.6000","21.6000","107.1000","20.8000","90","2k","TopLayer",""
"R17Q","R_0603_N","116.0000","116.0000","11.3000","11.3000","116.0000","10.5000","90","2k","TopLayer",""
"R17O","R_0603_N","116.0000","116.0000","21.6000","21.6000","116.0000","20.8000","90","2k","TopLayer",""
